Age,Tm,Lg,G_reg,W_reg,L_reg,W/L%_reg,W > .500,Finish,G_playoff,W_playoff,L_playoff,W/L%_playoff,Notes,coachName,coach_id,seasonStartYear,coachType
70,SAS,NBA,82,48,34,0.585,7,2,7,3,4,0.429,,Gregg Popovich,29,2018,Head Coach
64,NOP,NBA,82,33,49,0.402,-8,4,,,,,,Alvin Gentry,39,2018,Head Coach
67,HOU,NBA,82,53,29,0.646,12,1,11,6,5,0.545,,Mike D'Antoni,49,2018,Head Coach
57,LAC,NBA,82,48,34,0.585,7,2,6,2,4,0.333,,Doc Rivers,59,2018,Head Coach
54,IND,NBA,82,48,34,0.585,7,2,4,0,4,0,,Nate McMillan,66,2018,Head Coach
59,DAL,NBA,82,33,49,0.402,-8,5,,,,,,Rick Carlisle,73,2018,Head Coach
61,POR,NBA,82,53,29,0.646,12,2,16,8,8,0.5,,Terry Stotts,77,2018,Head Coach
61,DET,NBA,82,41,41,0.5,0,3,4,0,4,0,,Dwane Casey,102,2018,Head Coach
48,MIA,NBA,82,39,43,0.476,-2,3,,,,,,Erik Spoelstra,112,2018,Head Coach
53,WAS,NBA,82,32,50,0.39,-9,4,,,,,,Scott Brooks,113,2018,Head Coach
60,CLE,NBA,76,19,57,0.25,-19,5,,,,,,Larry Drew,123,2018,Head Coach
61,MIN,NBA,40,19,21,0.475,-1,5,,,,,,Tom Thibodeau,124,2018,Head Coach
49,MIL,NBA,82,60,22,0.732,19,1,15,10,5,0.667,,Mike Budenholzer,133,2018,Head Coach
42,BOS,NBA,82,49,33,0.598,8,3,9,5,4,0.556,,Brad Stevens,134,2018,Head Coach
57,ORL,NBA,82,42,40,0.512,1,1,5,1,4,0.2,,Steve Clifford,136,2018,Head Coach
44,SAC,NBA,82,39,43,0.476,-2,3,,,,,,Dave Joerger,139,2018,Head Coach
57,PHI,NBA,82,51,31,0.622,10,2,12,7,5,0.583,,Brett Brown,140,2018,Head Coach
48,DEN,NBA,82,54,28,0.659,13,1,14,7,7,0.5,,Michael Malone,142,2018,Head Coach
53,GSW,NBA,82,57,25,0.695,16,1,22,14,8,0.636,WC Champions,Steve Kerr,145,2018,Head Coach
41,CHO,NBA,82,39,43,0.476,-2,2,,,,,,James Borrego,147,2018,Head Coach
52,UTA,NBA,82,50,32,0.61,9,3,5,1,4,0.2,,Quin Snyder,148,2018,Head Coach
46,CHI,NBA,24,5,19,0.208,-7,4,,,,,,Fred Hoiberg,150,2018,Head Coach
41,CLE,NBA,6,0,6,0,-3,5,,,,,,Tyronn Lue,151,2018,Head Coach
39,MEM,NBA,82,33,49,0.402,-8,3,,,,,,J.B. Bickerstaff,152,2018,Head Coach
53,OKC,NBA,82,49,33,0.598,8,4,5,1,4,0.2,,Billy Donovan,153,2018,Head Coach
51,BRK,NBA,82,42,40,0.512,1,4,5,1,4,0.2,,Kenny Atkinson,155,2018,Head Coach
38,LAL,NBA,82,37,45,0.451,-4,4,,,,,,Luke Walton,156,2018,Head Coach
44,NYK,NBA,82,17,65,0.207,-24,5,,,,,,David Fizdale,157,2018,Head Coach
42,ATL,NBA,82,29,53,0.354,-12,5,,,,,,Lloyd Pierce,159,2018,Head Coach
53,CHI,NBA,58,17,41,0.293,-12,4,,,,,,Jim Boylen,160,2018,Head Coach
32,MIN,NBA,42,17,25,0.405,-4,5,,,,,,Ryan Saunders,161,2018,Head Coach
47,PHO,NBA,82,19,63,0.232,-22,5,,,,,,Igor Kokoskov,162,2018,Head Coach
51,TOR,NBA,82,58,24,0.707,17,1,24,16,8,0.667,NBA Champions,Nick Nurse,163,2018,Head Coach
71,SAS,NBA,71,32,39,0.451,-3.5,4,,,,,,Gregg Popovich,29,2019,Head Coach
65,NOP,NBA,72,30,42,0.417,-6,5,,,,,,Alvin Gentry,39,2019,Head Coach
68,HOU,NBA,72,44,28,0.611,8,1,12,5,7,0.417,,Mike D'Antoni,49,2019,Head Coach
58,LAC,NBA,72,49,23,0.681,13,2,13,7,6,0.538,,Doc Rivers,59,2019,Head Coach
55,IND,NBA,73,45,28,0.616,8.5,2,4,0,4,0,,Nate McMillan,66,2019,Head Coach
60,DAL,NBA,75,43,32,0.573,5.5,2,6,2,4,0.333,,Rick Carlisle,73,2019,Head Coach
62,POR,NBA,74,35,39,0.473,-2,4,5,1,4,0.2,,Terry Stotts,77,2019,Head Coach
62,DET,NBA,66,20,46,0.303,-13,4,,,,,,Dwane Casey,102,2019,Head Coach
49,MIA,NBA,73,44,29,0.603,7.5,1,21,14,7,0.667,EC Champions,Erik Spoelstra,112,2019,Head Coach
54,WAS,NBA,72,25,47,0.347,-11,4,,,,,,Scott Brooks,113,2019,Head Coach
46,LAL,NBA,71,52,19,0.732,16.5,1,21,16,5,0.762,NBA Champions,Frank Vogel,125,2019,Head Coach
48,PHO,NBA,73,34,39,0.466,-2.5,3,,,,,,Monty Williams,126,2019,Head Coach
44,BRK,NBA,10,7,3,0.7,2,4,4,0,4,0,,Jacque Vaughn,131,2019,Head Coach
50,MIL,NBA,73,56,17,0.767,19.5,1,10,5,5,0.5,,Mike Budenholzer,133,2019,Head Coach
43,BOS,NBA,72,48,24,0.667,12,2,17,10,7,0.588,,Brad Stevens,134,2019,Head Coach
58,ORL,NBA,73,33,40,0.452,-3.5,2,5,1,4,0.2,,Steve Clifford,136,2019,Head Coach
58,PHI,NBA,73,43,30,0.589,6.5,3,4,0,4,0,,Brett Brown,140,2019,Head Coach
49,DEN,NBA,73,46,27,0.63,9.5,1,19,9,10,0.474,,Michael Malone,142,2019,Head Coach
54,GSW,NBA,65,15,50,0.231,-17.5,5,,,,,,Steve Kerr,145,2019,Head Coach
42,CHO,NBA,65,23,42,0.354,-9.5,3,,,,,,James Borrego,147,2019,Head Coach
53,UTA,NBA,72,44,28,0.611,8,3,7,3,4,0.429,,Quin Snyder,148,2019,Head Coach
40,CLE,NBA,11,5,6,0.455,-0.5,5,,,,,,J.B. Bickerstaff,152,2019,Head Coach
54,OKC,NBA,72,44,28,0.611,8,2,7,3,4,0.429,,Billy Donovan,153,2019,Head Coach
52,BRK,NBA,62,28,34,0.452,-3,4,,,,,,Kenny Atkinson,155,2019,Head Coach
39,SAC,NBA,72,31,41,0.431,-5,4,,,,,,Luke Walton,156,2019,Head Coach
45,NYK,NBA,22,4,18,0.182,-7,5,,,,,,David Fizdale,157,2019,Head Coach
43,ATL,NBA,67,20,47,0.299,-13.5,5,,,,,,Lloyd Pierce,159,2019,Head Coach
54,CHI,NBA,65,22,43,0.338,-10.5,3,,,,,,Jim Boylen,160,2019,Head Coach
33,MIN,NBA,64,19,45,0.297,-13,5,,,,,,Ryan Saunders,161,2019,Head Coach
52,TOR,NBA,72,53,19,0.736,17,1,11,7,4,0.636,,Nick Nurse,163,2019,Head Coach
66,CLE,NBA,54,14,40,0.259,-13,5,,,,,,John Beilein,164,2019,Head Coach
35,MEM,NBA,73,34,39,0.466,-2.5,3,,,,,,Taylor Jenkins,165,2019,Head Coach
55,NYK,NBA,44,17,27,0.386,-5,5,,,,,,Mike Miller,166,2019,Head Coach
72,SAS,NBA,72,33,39,0.458,-3,3,,,,,,Gregg Popovich,29,2020,Head Coach
59,PHI,NBA,72,49,23,0.681,13,1,12,7,5,0.583,,Doc Rivers,59,2020,Head Coach
56,ATL,NBA,38,27,11,0.711,8,1,18,10,8,0.556,,Nate McMillan,66,2020,Head Coach
61,DAL,NBA,72,42,30,0.583,6,1,7,3,4,0.429,,Rick Carlisle,73,2020,Head Coach
63,POR,NBA,72,42,30,0.583,6,3,6,2,4,0.333,,Terry Stotts,77,2020,Head Coach
61,NOP,NBA,72,31,41,0.431,-5,4,,,,,,Stan Van Gundy,85,2020,Head Coach
63,DET,NBA,72,20,52,0.278,-16,5,,,,,,Dwane Casey,102,2020,Head Coach
50,MIA,NBA,72,40,32,0.556,4,2,4,0,4,0,,Erik Spoelstra,112,2020,Head Coach
55,WAS,NBA,72,34,38,0.472,-2,3,5,1,4,0.2,,Scott Brooks,113,2020,Head Coach
63,NYK,NBA,72,41,31,0.569,5,3,5,1,4,0.2,,Tom Thibodeau,124,2020,Head Coach
47,LAL,NBA,72,42,30,0.583,6,3,6,2,4,0.333,,Frank Vogel,125,2020,Head Coach
49,PHO,NBA,72,51,21,0.708,15,1,22,14,8,0.636,WC Champions,Monty Williams,126,2020,Head Coach
51,MIL,NBA,72,46,26,0.639,10,1,23,16,7,0.696,NBA Champions,Mike Budenholzer,133,2020,Head Coach
44,BOS,NBA,72,36,36,0.5,0,4,5,1,4,0.2,,Brad Stevens,134,2020,Head Coach
59,ORL,NBA,72,21,51,0.292,-15,5,,,,,,Steve Clifford,136,2020,Head Coach
50,DEN,NBA,72,47,25,0.653,11,2,10,4,6,0.4,,Michael Malone,142,2020,Head Coach
55,GSW,NBA,72,39,33,0.542,3,4,,,,,,Steve Kerr,145,2020,Head Coach
43,CHO,NBA,72,33,39,0.458,-3,4,,,,,,James Borrego,147,2020,Head Coach
54,UTA,NBA,72,52,20,0.722,16,1,11,6,5,0.545,,Quin Snyder,148,2020,Head Coach
43,LAC,NBA,72,47,25,0.653,11,2,19,10,9,0.526,,Tyronn Lue,151,2020,Head Coach
41,CLE,NBA,72,22,50,0.306,-14,4,,,,,,J.B. Bickerstaff,152,2020,Head Coach
55,CHI,NBA,72,31,41,0.431,-5,3,,,,,,Billy Donovan,153,2020,Head Coach
40,SAC,NBA,72,31,41,0.431,-5,5,,,,,,Luke Walton,156,2020,Head Coach
44,ATL,NBA,34,14,20,0.412,-3,1,18,10,8,0.556,,Lloyd Pierce,159,2020,Head Coach
34,MIN,NBA,31,7,24,0.226,-8.5,4,,,,,,Ryan Saunders,161,2020,Head Coach
53,TOR,NBA,72,27,45,0.375,-9,5,,,,,,Nick Nurse,163,2020,Head Coach
36,MEM,NBA,72,38,34,0.528,2,2,5,1,4,0.2,,Taylor Jenkins,165,2020,Head Coach
73,SAS,NBA,61,24,37,0.393,-6.5,4,,,,,,Gregg Popovich,29,2021,Head Coach
67,SAC,NBA,45,16,29,0.356,-6.5,5,,,,,,Alvin Gentry,39,2021,Head Coach
60,PHI,NBA,59,36,23,0.61,6.5,1,,,,,,Doc Rivers,59,2021,Head Coach
57,ATL,NBA,60,29,31,0.483,-1,3,,,,,,Nate McMillan,66,2021,Head Coach
62,IND,NBA,61,20,41,0.328,-10.5,4,,,,,,Rick Carlisle,73,2021,Head Coach
64,DET,NBA,60,14,46,0.233,-16,5,,,,,,Dwane Casey,102,2021,Head Coach
