seasonStartYear,awayTeam,pointsAway,homeTeam,pointsHome,attendance,notes,startET,datetime,isRegular,game_id
1996,Sacramento Kings,85,Houston Rockets,96,16285,,,11/1/1996,1,1
1996,Los Angeles Clippers,97,Golden State Warriors,85,15593,,,11/1/1996,1,2
1996,Portland Trail Blazers,114,Vancouver Grizzlies,85,19193,,,11/1/1996,1,3
1996,Seattle SuperSonics,91,Utah Jazz,99,19911,,,11/1/1996,1,4
1996,New York Knicks,107,Toronto Raptors,99,28457,,,11/1/1996,1,5
1996,Milwaukee Bucks,111,Philadelphia 76ers,103,20444,,,11/1/1996,1,6
1996,Washington Bullets,96,Orlando Magic,92,17248,,,11/1/1996,1,7
1996,Phoenix Suns,82,Los Angeles Lakers,96,17505,,,11/1/1996,1,8
1996,San Antonio Spurs,78,Minnesota Timberwolves,82,18109,,,11/1/1996,1,9
1996,Atlanta Hawks,81,Miami Heat,94,15113,,,11/1/1996,1,10
1996,Chicago Bulls,107,Boston Celtics,98,18624,,,11/1/1996,1,11
1996,Cleveland Cavaliers,90,New Jersey Nets,77,18316,,,11/1/1996,1,12
1996,Indiana Pacers,89,Detroit Pistons,95,21454,,,11/1/1996,1,13
1996,Dallas Mavericks,92,Denver Nuggets,91,16104,,,11/1/1996,1,14
1996,Detroit Pistons,90,Atlanta Hawks,78,16378,,,11/2/1996,1,15
1996,Toronto Raptors,98,Charlotte Hornets,109,24042,,,11/2/1996,1,16
1996,Philadelphia 76ers,86,Chicago Bulls,115,24040,,,11/2/1996,1,17
1996,Sacramento Kings,107,Dallas Mavericks,94,18042,,,11/2/1996,1,18
1996,Utah Jazz,95,Los Angeles Clippers,90,13041,,,11/2/1996,1,19
1996,Boston Celtics,102,Milwaukee Bucks,124,17275,,,11/2/1996,1,20
1996,Houston Rockets,110,Phoenix Suns,95,19023,,,11/2/1996,1,21
1996,Portland Trail Blazers,93,Seattle SuperSonics,104,17072,,,11/2/1996,1,22
1996,Cleveland Cavaliers,98,Washington Bullets,96,18756,,,11/2/1996,1,23
1996,Miami Heat,97,Indiana Pacers,95,15948,,,11/2/1996,1,24
1996,Golden State Warriors,105,Vancouver Grizzlies,95,15781,,,11/3/1996,1,25
1996,Denver Nuggets,88,San Antonio Spurs,79,20791,,,11/3/1996,1,26
1996,Minnesota Timberwolves,85,Los Angeles Lakers,91,15407,,,11/3/1996,1,27
1996,Charlotte Hornets,86,New York Knicks,113,19763,,,11/3/1996,1,28
1996,Atlanta Hawks,94,Portland Trail Blazers,76,21567,,,11/4/1996,1,29
1996,Houston Rockets,75,Utah Jazz,72,19911,,,11/4/1996,1,30
1996,Vancouver Grizzlies,73,Chicago Bulls,96,23726,,,11/5/1996,1,31
1996,San Antonio Spurs,74,Cleveland Cavaliers,68,15587,,,11/5/1996,1,32
1996,Los Angeles Clippers,82,Denver Nuggets,78,10190,,,11/5/1996,1,33
1996,Portland Trail Blazers,111,Golden State Warriors,93,13458,,,11/5/1996,1,34
1996,Los Angeles Lakers,98,New York Knicks,92,19763,,,11/5/1996,1,35
1996,Detroit Pistons,83,Philadelphia 76ers,81,12713,,,11/5/1996,1,36
1996,Minnesota Timberwolves,98,Phoenix Suns,95,19023,,,11/5/1996,1,37
1996,Houston Rockets,102,Sacramento Kings,80,17317,,,11/5/1996,1,38
1996,Atlanta Hawks,117,Seattle SuperSonics,95,17072,,,11/5/1996,1,39
1996,Dallas Mavericks,96,Toronto Raptors,100,17065,,,11/5/1996,1,40
1996,San Antonio Spurs,86,Washington Bullets,96,17110,,,11/6/1996,1,41
1996,Vancouver Grizzlies,89,Milwaukee Bucks,105,13689,,,11/6/1996,1,42
1996,Chicago Bulls,106,Miami Heat,100,15200,,,11/6/1996,1,43
1996,Dallas Mavericks,84,Detroit Pistons,103,14473,,,11/6/1996,1,44
1996,Indiana Pacers,84,Boston Celtics,94,14467,,,11/6/1996,1,45
1996,Los Angeles Lakers,78,Charlotte Hornets,88,24042,,,11/6/1996,1,46
1996,Atlanta Hawks,91,Sacramento Kings,87,17317,,,11/7/1996,1,47
1996,Minnesota Timberwolves,94,Portland Trail Blazers,95,20439,,,11/7/1996,1,48
1996,Orlando Magic,108,New Jersey Nets,95,38639,"at Tokyo, Japan",,11/7/1996,1,49
1996,New York Knicks,105,Golden State Warriors,100,16639,,,11/7/1996,1,50
1996,Houston Rockets,110,Denver Nuggets,108,12137,,,11/7/1996,1,51
1996,Seattle SuperSonics,103,Phoenix Suns,98,19023,,,11/7/1996,1,52
1996,Philadelphia 76ers,115,Boston Celtics,105,14733,,,11/8/1996,1,53
1996,Vancouver Grizzlies,72,Cleveland Cavaliers,88,13691,,,11/8/1996,1,54
1996,Chicago Bulls,98,Detroit Pistons,80,21454,,,11/8/1996,1,55
1996,New York Knicks,88,Los Angeles Clippers,81,13242,,,11/8/1996,1,56
1996,Milwaukee Bucks,89,Miami Heat,101,15200,,,11/8/1996,1,57
1996,New Jersey Nets,82,Orlando Magic,86,38639,"at Tokyo, Japan",,11/8/1996,1,58
1996,Seattle SuperSonics,87,San Antonio Spurs,75,15027,,,11/8/1996,1,59
1996,Los Angeles Lakers,92,Toronto Raptors,93,27357,,,11/8/1996,1,60
1996,Charlotte Hornets,102,Washington Bullets,87,18756,,,11/8/1996,1,61
1996,Golden State Warriors,91,Denver Nuggets,94,10302,,,11/8/1996,1,62
1996,Phoenix Suns,95,Philadelphia 76ers,112,17006,,,11/9/1996,1,63
1996,Portland Trail Blazers,102,Sacramento Kings,103,17317,,,11/9/1996,1,64
1996,Utah Jazz,85,Houston Rockets,91,16285,,,11/9/1996,1,65
