playerName,From,To,Pos,Ht,Wt,birthDate,Colleges
A.C. Green,1986,2001,F-C,9-Jun,220,10/4/1963,Oregon State
A.J. Bramlett,2000,2000,C,10-Jun,227,1/10/1977,Arizona
A.J. English,1991,1992,G,3-Jun,175,7/11/1967,Virginia Union University
A.J. Guyton,2001,2003,G,1-Jun,180,2/12/1978,Indiana
A.J. Hammons,2017,2017,C,1-Jul,260,8/27/1992,Purdue
A.J. Price,2010,2015,G,2-Jun,181,10/7/1986,UConn
A.J. Wynder,1991,1991,G,2-Jun,180,9/11/1964,"UMass, Fairfield"
A.W. Holt,1971,1971,F,7-Jun,210,8/26/1946,Jackson State University
Aaron Brooks,2008,2018,G,1-Jun,161,1/14/1985,Oregon
Aaron Gordon,2015,2022,F,8-Jun,235,9/16/1995,Arizona
Aaron Gray,2008,2014,C,1-Jul,270,12/7/1984,Pitt
Aaron Harrison,2016,2018,G,6-Jun,210,10/28/1994,Kentucky
Aaron Henry,2022,2022,F,6-Jun,210,8/30/1999,Michigan State
Aaron Holiday,2019,2022,G,1-Jun,185,9/30/1996,UCLA
Aaron Jackson,2018,2018,G,4-Jun,185,5/6/1986,Duquesne
Aaron James,1975,1979,F,8-Jun,210,10/5/1952,Grambling State University
Aaron McKie,1995,2007,G,5-Jun,209,10/2/1972,Temple
Aaron Miles,2006,2006,G,1-Jun,175,4/13/1983,Kansas
Aaron Nesmith,2021,2022,G-F,5-Jun,215,10/16/1999,Vanderbilt
Aaron Swinson,1995,1995,F,5-Jun,230,1/9/1971,Auburn
Aaron Wiggins,2022,2022,G,6-Jun,200,1/2/1999,Maryland
Aaron Williams,1994,2008,F-C,9-Jun,220,10/2/1971,Xavier
Abdel Nader,2018,2022,F,5-Jun,225,9/25/1993,"Northern Illinois, Iowa State"
Abdul Jeelani,1980,1981,F-C,8-Jun,210,2/10/1954,University of Wisconsin-Parkside
Acie Earl,1994,1997,F-C,10-Jun,240,6/23/1970,Iowa
Acie Law,2008,2011,G,3-Jun,195,1/25/1985,Texas A&M
Adam Harrington,2003,2003,G,5-Jun,200,7/5/1980,"NC State, Auburn"
Adam Keefe,1993,2001,F,9-Jun,230,2/22/1970,Stanford
Adam Mokoka,2020,2021,G,4-Jun,190,7/18/1998,
Adam Morrison,2007,2010,F,8-Jun,205,7/19/1984,Gonzaga
Ade Murkey,2022,2022,G,5-Jun,200,1/29/1998,Denver
Admiral Schofield,2020,2022,G-F,5-Jun,241,3/30/1997,Tennessee
Adonal Foyle,1998,2009,C,10-Jun,250,3/9/1975,Colgate
Adonis Jordan,1994,1999,G,11-May,170,8/21/1970,Kansas
Adonis Thomas,2014,2014,F,7-Jun,200,3/25/1993,Memphis
Adreian Payne,2015,2018,F-C,10-Jun,237,2/19/1991,Michigan State
Adrian Branch,1987,1990,F-G,7-Jun,185,11/17/1963,Maryland
Adrian Caldwell,1990,1998,F-C,8-Jun,265,7/4/1966,"SMU, Lamar"
Adrian Dantley,1977,1991,F-G,5-Jun,208,2/28/1955,Notre Dame
Adrian Griffin,2000,2008,G-F,5-Jun,217,7/4/1974,Seton Hall
Adrian Smith,1962,1972,G,1-Jun,180,10/5/1936,Kentucky
Ahmad Caver,2022,2022,G,2-Jun,175,9/12/1996,Old Dominion
