playerName,teamName,game_id,FG,3P,FT,TRB,AST,STL,BLK,PTS,opponent
"Aaron Gordon","Orlando Magic",29136,4,0,2,7,3,2,0,10,"Atlanta Hawks"
"Aaron Gordon","Orlando Magic",29906,10,2,4,9,4,0,1,26,"Atlanta Hawks"
"Aaron Gordon","Orlando Magic",29975,9,3,4,10,6,1,3,25,"Atlanta Hawks"
"Aaron Gordon","Orlando Magic",29784,4,0,4,4,2,0,0,12,"Boston Celtics"
"Aaron Gordon","Orlando Magic",29869,7,1,8,10,4,2,1,23,"Boston Celtics"
"Aaron Gordon","Orlando Magic",29649,5,0,1,14,1,2,0,11,"Brooklyn Nets"
"Aaron Gordon","Orlando Magic",29962,11,3,2,10,4,1,2,27,"Brooklyn Nets"
"Aaron Gordon","Orlando Magic",30084,2,0,6,11,2,0,0,10,"Brooklyn Nets"
"Aaron Gordon","Orlando Magic",29755,3,0,0,6,7,1,0,6,"Charlotte Hornets"
"Aaron Gordon","Orlando Magic",29854,6,2,2,12,5,2,0,16,"Charlotte Hornets"
"Aaron Gordon","Orlando Magic",29558,6,1,3,11,4,1,3,16,"Chicago Bulls"
"Aaron Gordon","Orlando Magic",29117,2,1,4,2,3,2,1,9,"Cleveland Cavaliers"
"Aaron Gordon","Orlando Magic",29434,6,0,2,5,2,1,1,14,"Cleveland Cavaliers"
"Aaron Gordon","Orlando Magic",29212,10,1,2,4,1,2,0,23,"Dallas Mavericks"
"Aaron Gordon","Orlando Magic",29933,4,0,2,12,7,2,1,10,"Dallas Mavericks"
"Aaron Gordon","Orlando Magic",29188,9,1,2,9,3,0,0,21,"Denver Nuggets"
"Aaron Gordon","Orlando Magic",29516,4,1,0,7,3,1,1,9,"Denver Nuggets"
"Aaron Gordon","Orlando Magic",29922,8,3,6,9,9,1,1,25,"Detroit Pistons"
"Aaron Gordon","Orlando Magic",29393,2,1,3,7,4,0,0,8,"Golden State Warriors"
"Aaron Gordon","Orlando Magic",29737,4,1,2,3,3,1,0,11,"Golden State Warriors"
"Aaron Gordon","Orlando Magic",29481,9,2,1,6,4,0,0,21,"Houston Rockets"
"Aaron Gordon","Orlando Magic",30054,7,1,4,10,4,3,2,19,"Houston Rockets"
"Aaron Gordon","Orlando Magic",29245,5,2,1,2,3,0,1,13,"Indiana Pacers"
"Aaron Gordon","Orlando Magic",29725,8,4,0,0,5,0,0,20,"Los Angeles Clippers"
