playerName,seasonStartYear,salary,inflationAdjSalary
Stephen Curry,2018,37457154,40386520
Russell Westbrook,2018,35665000,38454209
Chris Paul,2018,35654150,38442511
LeBron James,2018,35654150,38442511
Kyle Lowry,2018,32700000,35257329
Blake Griffin,2018,31873932,34366658
Gordon Hayward,2018,31214295,33655433
James Harden,2018,30570000,32960751
Paul George,2018,30560700,32950723
Mike Conley,2018,30521115,32908043
Kevin Durant,2018,30000000,32346173
Paul Millsap,2018,29230769,31516784
Al Horford,2018,28928710,31191102
Damian Lillard,2018,27977689,30165706
DeMar DeRozan,2018,27739975,29909401
Chris Bosh,2018,26837720,28936585
Jrue Holiday,2018,26641111,28724600
Otto Porter,2018,26011913,28046195
CJ McCollum,2018,25759766,27774328
Nikola Jokic,2018,25467250,27458936
Andrew Wiggins,2018,25467250,27458936
Joel Embiid,2018,25467250,27458936
Anthony Davis,2018,25434263,27423369
Andre Drummond,2018,25434262,27423368
Bradley Beal,2018,25434262,27423368
Hassan Whiteside,2018,24434262,26345162
Dwight Howard,2018,24256725,26153741
Giannis Antetokounmpo,2018,24157304,26046545
Steven Adams,2018,24157304,26046545
Kevin Love,2018,24119025,26005272
Marc Gasol,2018,24119025,26005272
Chandler Parsons,2018,24107258,25992585
Harrison Barnes,2018,24107258,25992585
Nicolas Batum,2018,24000000,25876939
Rudy Gobert,2018,23491573,25328750
Kawhi Leonard,2018,23114066,24921719
DeAndre Jordan,2018,22897200,24687893
LaMarcus Aldridge,2018,22347015,24094681
Serge Ibaka,2018,21666667,23361125
Aaron Gordon,2018,21590909,23279443
Danilo Gallinari,2018,21587579,23275852
Victor Oladipo,2018,21000000,22642321
Ryan Anderson,2018,20421546,22018629
Joakim Noah,2018,20261172,21845712
Kyrie Irving,2018,20099189,21671062
Jabari Parker,2018,20000000,21564115
Jimmy Butler,2018,19841627,21393357
Zach LaVine,2018,19500000,21025012
Wesley Matthews,2018,19360228,20874309
Allen Crabbe,2018,19332500,20844413
Enes Kanter,2018,19264603,20771206
Tyler Johnson,2018,19245370,20750469
John Wall,2018,19169800,20668989
George Hill,2018,19000000,20485910
Jeff Teague,2018,19000000,20485910
Klay Thompson,2018,18988725,20473753
Goran Dragic,2018,18109175,19525417
Kent Bazemore,2018,18089888,19504622
Evan Turner,2018,17868853,19266300
Tristan Thompson,2018,17469565,18835786
